Title,Max Players,Multiplatform?,Online?,Genres,Publisher,Review Score,Sales,Console,Rating,Year
Super Mario 64 DS,1,True,True,Action,Nintendo,85,4.69,Nintendo DS,E,2004
Lumines: Puzzle Fusion,1,True,True,Strategy,Ubisoft,89,0.56,Sony PSP,E,2004
WarioWare Touched!,2,True,True,"Action,Racing / Driving,Sports",Nintendo,81,0.54,Nintendo DS,E,2004
Hot Shots Golf: Open Tee,1,True,True,Sports,Sony,81,0.49,Sony PSP,E,2004
Spider-Man 2,1,True,True,Action,Activision,61,0.45,Nintendo DS,E,2004
The Urbz: Sims in the City,1,True,True,Simulation,EA,67,0.41,Nintendo DS,M,2004
Ridge Racer,1,True,True,Racing / Driving,Namco,88,0.36,Sony PSP,E,2004
Metal Gear Ac!d,1,True,True,Strategy,Konami,75,0.34,Sony PSP,E,2004
Madden NFL 2005,1,True,True,Sports,EA,68,0.25,Nintendo DS,T,2004
Pokmon Dash,1,True,True,Racing / Driving,Nintendo,46,0.22,Nintendo DS,T,2004
Dynasty Warriors,1,True,True,"Action,Adventure,Role-Playing (RPG)",,62,0.2,Sony PSP,E,2004
Feel the Magic XY/XX,1,True,True,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,Nintendo DS,T,2004
Ridge Racer DS,1,True,True,Racing / Driving,Namco,63,0.15,Nintendo DS,E,2004
Darkstalkers Chronicle: The Chaos Tower,1,True,True,Action,Capcom,74,0.14,Sony PSP,E,2004
Ape Escape Academy,4,True,True,"Action,Sports",Sony,51,0.13,Sony PSP,E,2004
Polarium,1,True,True,Strategy,Nintendo,73,0.12,Nintendo DS,E,2004
Asphalt: Urban GT,1,True,True,"Racing / Driving,Simulation",Ubisoft,60,0.11,Nintendo DS,E,2004
Zoo Keeper,1,True,True,Action,,74,0.1,Nintendo DS,T,2004
Mr. DRILLER: Drill Spirits,1,True,True,Action,Namco,72,0.09,Nintendo DS,T,2004
Sprung,1,True,True,Adventure,Ubisoft,48,0.06,Nintendo DS,E,2004
Armored Core: Formula Front - Extreme Battle,1,True,True,"Action,Strategy",,66,0.05,Sony PSP,E,2004
Puyo Pop Fever,1,True,True,"Action,Strategy",Sega,76,0.04,Nintendo DS,E,2004
Mario Kart DS,1,True,True,Racing / Driving,Nintendo,91,9.99,Nintendo DS,E,2005
Nintendogs,1,True,True,Simulation,Nintendo,83,9.72,Nintendo DS,E,2005
Brain Age: Train Your Brain in Minutes a Day!,1,True,True,Action,Nintendo,77,5.07,Nintendo DS,M,2005
Brain Agey: More Training in Minutes a Day!,1,True,True,Action,Nintendo,77,3.65,Nintendo DS,E,2005
Grand Theft Auto: Liberty City Stories,1,True,True,"Action,Racing / Driving","Capcom,Rockstar",88,2.97,Sony PSP,E,2005
Animal Crossing: Wild World,1,True,True,Simulation,Nintendo,86,2.6,Nintendo DS,T,2005
Big Brain Academy,1,True,True,Action,Nintendo,74,1.77,Nintendo DS,E,2005
Call of Duty 2,4,True,True,Action,"Activision,Konami",89,1.69,X360,E,2005
Midnight Club 3: DUB Edition,1,True,True,Racing / Driving,Rockstar,74,1.69,Sony PSP,T,2005
Need for Speed: Most Wanted 5-1-0,1,True,True,Racing / Driving,EA,72,1.67,Sony PSP,M,2005
Pokmon Mystery Dungeon: Blue Rescue Team,1,True,True,Role-Playing (RPG),Nintendo,62,1.22,Nintendo DS,T,2005
Sonic Rush,1,True,True,Action,Sega,82,1.2,Nintendo DS,E,2005
Star Wars: Battlefront II,1,True,True,Action,,69,1.09,Sony PSP,E,2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,True,True,Action,Sony,82,1.07,Sony PSP,E,2005
Need for Speed: Most Wanted,2,True,True,Racing / Driving,EA,83,0.95,X360,E,2005
Zoo Tycoon DS,1,True,True,"Simulation,Strategy",THQ,44,0.92,Nintendo DS,T,2005
The Sims 2,1,True,True,"Role-Playing (RPG),Simulation",EA,70,0.83,Nintendo DS,M,2005
Mario & Luigi: Partners in Time,1,True,True,"Action,Role-Playing (RPG)",Nintendo,86,0.75,Nintendo DS,E,2005
Madden NFL 06,1,True,True,Sports,EA,75,0.75,Sony PSP,E,2005
Need for Speed Underground: Rivals,4,True,True,Racing / Driving,EA,74,0.73,Sony PSP,E,2005
Twisted Metal: Head-On,1,True,True,"Action,Racing / Driving",Sony,79,0.73,Sony PSP,E,2005
Perfect Dark Zero,4,True,True,Action,Microsoft,79,0.7,X360,E,2005
Super Monkey Ball: Touch & Roll,1,True,True,Action,Sega,63,0.7,Nintendo DS,T,2005
Super Princess Peach,1,True,True,Action,Nintendo,75,0.7,Nintendo DS,T,2005
Burnout Legends,1,True,True,"Action,Racing / Driving",EA,86,0.68,Sony PSP,T,2005
Madden NFL 06,2,True,True,Sports,EA,74,0.62,X360,E,2005
Clubhouse Games,1,True,True,Strategy,Nintendo,83,0.61,Nintendo DS,E,2005
ATV Offroad Fury: Blazin' Trails,4,True,True,"Racing / Driving,Sports",Sony,63,0.56,Sony PSP,T,2005
Untold Legends: Brotherhood of the Blade,1,True,True,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,Sony PSP,M,2005
Tony Hawk's Underground 2: Remix,1,True,True,Sports,Activision,83,0.49,Sony PSP,T,2005
The Sims 2,1,True,True,"Simulation,Strategy",EA,65,0.46,Sony PSP,T,2005
WipEout Pure,1,True,True,"Action,Racing / Driving",Sony,88,0.45,Sony PSP,E,2005
NBA Live 06,1,True,True,Sports,EA,80,0.42,Sony PSP,E,2005
WWE Smackdown vs. Raw 2006,4,True,True,"Action,Sports",THQ,81,0.38,Sony PSP,T,2005
Dead or Alive 4,4,True,True,Action,,85,0.38,X360,E,2005
Phoenix Wright: Ace Attorney,1,True,True,"Adventure,Simulation",Capcom,81,0.38,Nintendo DS,E,2005
Spider-Man 2,1,True,True,Action,Activision,67,0.38,Sony PSP,M,2005
NFL Street 2,4,True,True,Sports,EA,73,0.37,Sony PSP,T,2005
Kirby: Canvas Curse,1,True,True,Action,Nintendo,86,0.37,Nintendo DS,T,2005
Battlefield 2: Modern Combat,4,True,True,Action,EA,77,0.36,X360,E,2005
Yoshi Touch & Go,1,True,True,Action,Nintendo,73,0.36,Nintendo DS,T,2005
Tiger Woods PGA Tour 06,4,True,True,Sports,EA,71,0.33,X360,T,2005
Condemned: Criminal Origins,1,True,True,"Action,Adventure",Sega,81,0.33,X360,E,2005
Peter Jackson's King Kong: The Official Game of...,2,True,True,Action,Ubisoft,80,0.32,X360,T,2005
Castlevania: Dawn of Sorrow,1,True,True,"Action,Role-Playing (RPG)",Konami,89,0.31,Nintendo DS,T,2005
SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,THQ,67,0.31,Nintendo DS,E,2005
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,EA,58,0.31,Sony PSP,T,2005
Kameo: Elements of Power,1,True,True,Action,Microsoft,79,0.31,X360,T,2005
Advance Wars: Dual Strike,1,True,True,Strategy,Nintendo,90,0.3,Nintendo DS,T,2005
Trauma Center: Under the Knife,1,True,True,"Action,Simulation",Nintendo,81,0.3,Nintendo DS,T,2005
Coded Arms,1,True,True,Action,Konami,59,0.3,Sony PSP,M,2005
NBA LIVE 06 ,1,True,True,Sports,EA,64,0.29,X360,E,2005
Tony Hawk's American Wasteland,1,True,True,Sports,Activision,75,0.29,X360,E,2005
Star Wars: Episode III - Revenge of the Sith,1,True,True,Action,Ubisoft,73,0.28,Nintendo DS,E,2005
Capcom Classics Collection Remixed,1,True,True,Action,Capcom,72,0.28,Sony PSP,E,2005
Madagascar,1,True,True,Adventure,Activision,66,0.27,Nintendo DS,E,2005
X-Men: Legends II - Rise of Apocalypse,1,True,True,"Action,Role-Playing (RPG)",Activision,84,0.27,Sony PSP,M,2005
Quake 4,1,True,True,Action,Activision,75,0.27,X360,E,2005
Pokmon Trozei!,1,True,True,Strategy,Nintendo,74,0.26,Nintendo DS,E,2005
Need for Speed: Most Wanted,1,True,True,Racing / Driving,EA,45,0.25,Nintendo DS,E,2005
Mega Man Maverick Hunter X,1,True,True,Action,Capcom,79,0.25,Sony PSP,E,2005
Metroid Prime Pinball,1,True,True,"Action,Simulation",Nintendo,79,0.22,Nintendo DS,E,2005
NBA 06,1,True,True,Sports,Sony,72,0.22,Sony PSP,E,2005
GUN ,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",Activision,75,0.22,X360,E,2005
NBA 2K6 ,1,True,True,Sports,2K,81,0.22,X360,E,2005
Pinball Hall of Fame: The Gottlieb Collection,4,True,True,Action,,73,0.21,Sony PSP,T,2005
Harry Potter and the Goblet of Fire,1,True,True,Action,EA,68,0.21,Nintendo DS,T,2005
Tony Hawk's American Sk8land,1,True,True,Sports,Activision,84,0.21,Nintendo DS,E,2005
MVP Baseball,1,True,True,Sports,EA,67,0.21,Sony PSP,M,2005
Tiger Woods PGA Tour,1,True,True,Sports,EA,78,0.21,Sony PSP,E,2005
World Series of Poker,1,True,True,"Sports,Strategy",Activision,37,0.21,Sony PSP,E,2005
SSX on Tour,1,True,True,Sports,EA,79,0.2,Sony PSP,E,2005
Tiger Woods PGA Tour 06,1,True,True,Sports,EA,80,0.2,Sony PSP,T,2005
Death Jr.,1,True,True,Action,Konami,61,0.19,Sony PSP,M,2005
Harry Potter and the Goblet of Fire,1,True,True,Action,EA,70,0.19,Sony PSP,T,2005
MediEvil Resurrection,1,True,True,Action,Sony,66,0.19,Sony PSP,T,2005
"The Chronicles of Narnia: The Lion, the Witch a...",1,True,True,"Action,Role-Playing (RPG)",,65,0.18,Nintendo DS,T,2005
Shrek SuperSlam,1,True,True,Action,Activision,56,0.18,Nintendo DS,E,2005
Virtua Tennis: World Tour,1,True,True,Sports,Sega,84,0.18,Sony PSP,M,2005
Prince of Persia: Revelations,1,True,True,Action,Ubisoft,65,0.17,Sony PSP,E,2005
Burnout Legends,1,True,True,"Action,Racing / Driving",EA,38,0.16,Nintendo DS,E,2005
Meteos,1,True,True,Strategy,Nintendo,88,0.16,Nintendo DS,E,2005
Spyro: Shadow Legacy,1,True,True,Role-Playing (RPG),,50,0.15,Nintendo DS,E,2005
The Con,1,True,True,Action,Sony,63,0.15,Sony PSP,E,2005
Infected,1,True,True,Action,,74,0.15,Sony PSP,E,2005
Pursuit Force,1,True,True,"Action,Racing / Driving",Sony,75,0.14,Sony PSP,M,2005
Kingdom of Paradise,2,True,True,"Action,Role-Playing (RPG)",Sony,72,0.13,Sony PSP,E,2005
Dragon Ball Z: Supersonic Warriors 2,1,True,True,Action,Atari,66,0.13,Nintendo DS,E,2005
Dragon Quest Heroes: Rocket Slime,1,True,True,Action,SquareEnix,83,0.13,Nintendo DS,T,2005
Dead to Rights: Reckoning,1,True,True,Action,Namco,54,0.13,Sony PSP,E,2005
Amped 3,1,True,True,Sports,2K,72,0.13,X360,E,2005
Break 'em All,1,True,True,Action,,68,0.12,Nintendo DS,T,2005
Lunar: Dragon Song,1,True,True,Role-Playing (RPG),Ubisoft,59,0.12,Nintendo DS,M,2005
Madden NFL 06,1,True,True,Sports,EA,66,0.12,Nintendo DS,E,2005
Retro Atari Classics,1,True,True,"Action,Racing / Driving,Simulation",Atari,51,0.12,Nintendo DS,E,2005
True Swing Golf,1,True,True,Sports,Nintendo,66,0.12,Nintendo DS,E,2005
FIFA Soccer,1,True,True,Sports,EA,73,0.12,Sony PSP,E,2005
Metal Gear Ac!d 2,1,True,True,Strategy,Konami,80,0.12,Sony PSP,E,2005
ATV Quad Frenzy,1,True,True,"Racing / Driving,Sports",,35,0.11,Nintendo DS,T,2005
Bomberman,1,True,True,Strategy,Ubisoft,75,0.11,Nintendo DS,E,2005
GoldenEye: Rogue Agent,1,True,True,Action,EA,58,0.11,Nintendo DS,T,2005
Need for Speed Underground 2,1,True,True,Racing / Driving,EA,65,0.11,Nintendo DS,T,2005
Frogger: Helmet Chaos,1,True,True,Action,Konami,66,0.11,Sony PSP,E,2005
The Lord of the Rings: Tactics,1,True,True,"Role-Playing (RPG),Strategy",EA,64,0.11,Sony PSP,M,2005
Rengoku: The Tower of Purgatory,1,True,True,"Action,Role-Playing (RPG)",Konami,43,0.11,Sony PSP,E,2005
Gretzky NHL,2,True,True,Sports,Sony,61,0.1,Sony PSP,E,2005
Ridge Racer 6,2,True,True,Racing / Driving,"EA,Namco",74,0.1,X360,E,2005
Ford Racing 3,1,True,True,"Action,Racing / Driving",,49,0.1,Nintendo DS,E,2005
NHL 2K6 ,1,True,True,Sports,2K,75,0.1,X360,T,2005
Bust-a-Move DS,1,True,True,"Action,Strategy",,75,0.09,Nintendo DS,E,2005
Battles of Prince of Persia,1,True,True,Strategy,Ubisoft,64,0.09,Nintendo DS,E,2005
GripShift,1,True,True,Racing / Driving,Ubisoft,70,0.09,Sony PSP,E,2005
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,EA,34,0.08,Nintendo DS,T,2005
Scooby-Doo! Unmasked,1,True,True,Action,THQ,60,0.08,Nintendo DS,E,2005
Viewtiful Joe: Double Trouble!,1,True,True,Action,Capcom,73,0.08,Nintendo DS,E,2005
The Legend of Heroes: A Tear of Vermillion,1,True,True,Role-Playing (RPG),,68,0.08,Sony PSP,T,2005
PQ: Practical Intelligence Quotient,1,True,True,Strategy,,69,0.08,Sony PSP,E,2005
Lost in Blue,1,True,True,Role-Playing (RPG),Konami,69,0.07,Nintendo DS,T,2005
Ghost in the Shell: Stand Alone Complex,1,True,True,Action,Sony,61,0.07,Sony PSP,E,2005
Dig Dug: Digging Strike,1,True,True,Action,Namco,65,0.06,Nintendo DS,E,2005
Frogger: Helmet Chaos,1,True,True,Action,Konami,69,0.06,Nintendo DS,E,2005
Mega Man Battle Network 5: Double Team DS,1,True,True,"Action,Role-Playing (RPG)",Capcom,68,0.06,Nintendo DS,E,2005
Nanostray,1,True,True,Action,THQ,71,0.06,Nintendo DS,E,2005
Sega Casino,1,True,True,Simulation,Sega,61,0.06,Nintendo DS,M,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,True,True,"Action,Adventure",Konami,58,0.06,Nintendo DS,T,2005
Pac-Man World 3,1,True,True,Action,"EA,Namco",61,0.06,Sony PSP,E,2005
Tokobot,1,True,True,Strategy,,72,0.06,Sony PSP,T,2005
Fullmetal Alchemist: Dual Sympathy,1,True,True,Action,,58,0.05,Nintendo DS,M,2005
Exit,1,True,True,Action,Ubisoft,77,0.05,Sony PSP,E,2005
Bubble Bobble Revolution,1,True,True,Action,,38,0.04,Nintendo DS,M,2005
The Rub Rabbits!,2,True,True,"Action,Adventure",Sega,68,0.02,Nintendo DS,M,2005
Electroplankton,1,True,True,Simulation,Nintendo,71,0.01,Nintendo DS,T,2005
LifeSigns: Surgical Unit,1,True,True,"Simulation,Strategy",,61,0.01,Nintendo DS,T,2005
Space Invaders Revolution,1,True,True,Action,,49,0.01,Nintendo DS,E,2005
Wii Play,2,True,True,"Action,Sports",Nintendo,58,14.66,Nintendo Wii,T,2006
New Super Mario Bros.,1,True,True,Action,Nintendo,89,10.03,Nintendo DS,T,2006
Pokmon Diamond,1,True,True,Role-Playing (RPG),Nintendo,85,6.77,Nintendo DS,E,2006
Pokmon Pearl,1,True,True,Role-Playing (RPG),Nintendo,85,6.77,Nintendo DS,E,2006
Gears of War,2,True,True,Action,Microsoft,94,3.7,X360,M,2006
The Legend of Zelda: Twilight Princess,1,True,True,"Action,Role-Playing (RPG)",Nintendo,95,3.33,Nintendo Wii,M,2006
Cooking Mama,1,True,True,Simulation,,67,2.9,Nintendo DS,M,2006
Marvel Ultimate Alliance,4,True,True,"Action,Role-Playing (RPG)",Activision,82,2.42,X360,T,2006
Daxter,1,True,True,Action,Sony,85,2.38,Sony PSP,T,2006
The Elder Scrolls IV: Oblivion,1,True,True,"Action,Role-Playing (RPG)",2K,94,2.12,X360,E,2006
Madden NFL 07,2,True,True,Sports,EA,80,1.77,X360,E,2006
Grand Theft Auto: Vice City Stories,1,True,True,"Action,Racing / Driving",Rockstar,86,1.72,Sony PSP,E,2006
Resistance: Fall of Man,4,True,True,Action,Sony,86,1.61,PlayStation 3,E,2006
MotorStorm,1,True,True,"Action,Racing / Driving,Sports",Sony,82,1.58,PlayStation 3,T,2006
Call of Duty 3,2,True,True,Action,Activision,82,1.51,X360,T,2006
Yoshi's Island DS,1,True,True,Action,Nintendo,81,1.49,Nintendo DS,E,2006
Tom Clancy's Ghost Recon: Advanced Warfighter,4,True,True,Action,Ubisoft,90,1.46,X360,E,2006
Fight Night Round 3,2,True,True,"Action,Sports",EA,86,1.4,X360,E,2006
Pokmon Ranger,1,True,True,Role-Playing (RPG),Nintendo,69,1.36,Nintendo DS,E,2006
Rayman Raving Rabbids,4,True,True,Action,Ubisoft,76,1.26,Nintendo Wii,T,2006
Saints Row,1,True,True,"Action,Racing / Driving",THQ,81,1.23,X360,T,2006
Tom Clancy's Rainbow Six: Vegas,2,True,True,Action,Ubisoft,88,1.19,X360,E,2006
Dead Rising,1,True,True,Action,Capcom,85,1.16,X360,E,2006
Call of Duty 3,1,True,True,Action,Activision,69,1.15,Nintendo Wii,E,2006
Lost Planet: Extreme Condition,1,True,True,Action,Capcom,79,1.15,X360,M,2006
Mario Hoops 3 on 3,1,True,True,Sports,Nintendo,69,1.03,Nintendo DS,M,2006
LEGO Star Wars II: The Original Trilogy,1,True,True,Action,EA,47,1.02,Nintendo DS,E,2006
Super Monkey Ball: Banana Blitz,4,True,True,Action,Sega,74,1,Nintendo Wii,T,2006
The Sims 2: Pets,1,True,True,Simulation,EA,49,0.97,Nintendo DS,T,2006
Need for Speed: Carbon - Own the City,1,True,True,Racing / Driving,EA,73,0.93,Sony PSP,E,2006
WarioWare: Smooth Moves,6,True,True,"Action,Racing / Driving,Sports",Nintendo,83,0.9,Nintendo Wii,T,2006
Fight Night Round 3,2,True,True,"Action,Sports",EA,83,0.86,PlayStation 3,T,2006
Final Fantasy III,1,True,True,Role-Playing (RPG),SquareEnix,77,0.86,Nintendo DS,E,2006
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,True,True,Action,Sony,81,0.86,Sony PSP,E,2006
Madden NFL 07,1,True,True,Sports,EA,78,0.83,Sony PSP,E,2006
Monster 4x4: World Circuit,4,True,True,Racing / Driving,Ubisoft,51,0.82,Nintendo Wii,E,2006
Kirby: Squeak Squad,1,True,True,Action,Nintendo,71,0.82,Nintendo DS,T,2006
Pokmon Battle Revolution,4,True,True,"Action,Strategy",Nintendo,53,0.81,Nintendo Wii,T,2006
Medal of Honor: Heroes,1,True,True,Action,EA,71,0.81,Sony PSP,E,2006
Tekken: Dark Resurrection,1,True,True,Action,"Namco,Sony",88,0.81,Sony PSP,E,2006
Need for Speed: Carbon,2,True,True,Racing / Driving,EA,77,0.78,X360,E,2006
Mario vs. Donkey Kong 2: March of the Minis,1,True,True,Action,Nintendo,76,0.77,Nintendo DS,T,2006
Sonic Rivals,1,True,True,"Action,Racing / Driving",Sega,64,0.76,Sony PSP,T,2006
NCAA Football 07,2,True,True,Sports,EA,79,0.7,X360,E,2006
Mortal Kombat: Unchained,2,True,True,Action,Midway,70,0.67,Sony PSP,E,2006
Tom Clancy's Splinter Cell: Double Agent,1,True,True,Action,Ubisoft,85,0.67,X360,E,2006
Tetris DS,1,True,True,Strategy,Nintendo,84,0.66,Nintendo DS,M,2006
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,,83,0.61,Sony PSP,T,2006
Red Steel,4,True,True,Action,Ubisoft,63,0.58,Nintendo Wii,T,2006
Metroid Prime: Hunters,1,True,True,Action,Nintendo,85,0.58,Nintendo DS,E,2006
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,,81,0.57,X360,E,2006
NBA 2K7 ,1,True,True,Sports,2K,84,0.56,X360,E,2006
SEGA Genesis Collection,2,True,True,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,82,0.55,Sony PSP,T,2006
Call of Duty 3,1,True,True,Action,Activision,80,0.52,PlayStation 3,T,2006
NBA Live 07,1,True,True,Sports,EA,64,0.51,Sony PSP,E,2006
Madden NFL 07,2,True,True,Sports,EA,76,0.49,PlayStation 3,T,2006
SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,THQ,48,0.49,Sony PSP,T,2006
Madden NFL 07,4,True,True,Sports,EA,81,0.48,Nintendo Wii,E,2006
Fight Night Round 3,2,True,True,"Action,Simulation,Sports",EA,74,0.48,Sony PSP,T,2006
Need for Speed: Carbon,2,True,True,Racing / Driving,EA,75,0.47,PlayStation 3,T,2006
Need for Speed: Carbon,2,True,True,Racing / Driving,EA,67,0.47,Nintendo Wii,M,2006
WWE SmackDown vs. Raw 2007,4,True,True,Sports,THQ,81,0.45,X360,E,2006
Tiger Woods PGA Tour 07,1,True,True,Sports,EA,80,0.45,X360,T,2006
Viva Pi$?ata,4,True,True,"Simulation,Strategy",Microsoft,84,0.44,X360,E,2006
SpongeBob Squarepants: Creature from the Krusty Krab,1,True,True,"Action,Adventure",THQ,57,0.44,Nintendo Wii,T,2006
Tony Hawk's Project 8,2,True,True,Sports,Activision,68,0.42,Sony PSP,M,2006
Tony Hawk's Project 8,2,True,True,Sports,Activision,81,0.42,X360,E,2006
NBA LIVE 07 ,1,True,True,Sports,EA,59,0.42,X360,T,2006
Excite Truck,2,True,True,Racing / Driving,Nintendo,72,0.4,Nintendo Wii,M,2006
Harvest Moon DS,1,True,True,"Role-Playing (RPG),Simulation",,67,0.4,Nintendo DS,T,2006
Star Fox Command,1,True,True,Action,Nintendo,76,0.39,Nintendo DS,T,2006
Metal Gear Solid: Portable Ops,1,True,True,"Action,Strategy",Konami,87,0.39,Sony PSP,T,2006
Marvel Ultimate Alliance,4,True,True,"Action,Role-Playing (RPG)",Activision,73,0.38,Nintendo Wii,M,2006
Blazing Angels: Squadrons of WWII,2,True,True,Action,Ubisoft,66,0.37,X360,E,2006
Major League Baseball 2K6,2,True,True,Sports,2K,66,0.37,X360,T,2006
NCAA Football 07,1,True,True,Sports,EA,75,0.36,Sony PSP,T,2006
MLB 06: The Show,2,True,True,Sports,Sony,83,0.35,Sony PSP,T,2006
Blazing Angels: Squadrons of WWII,2,True,True,Action,Ubisoft,67,0.35,PlayStation 3,T,2006
WWE SmackDown vs. Raw 2007,4,True,True,Sports,THQ,78,0.34,Sony PSP,T,2006
Rune Factory: A Fantasy Harvest Moon,1,True,True,"Role-Playing (RPG),Simulation",,78,0.34,Nintendo DS,T,2006
Marvel Ultimate Alliance,1,True,True,"Action,Role-Playing (RPG)",Activision,81,0.34,Sony PSP,E,2006
